Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Bendl, Roswitha Annemarie;2009;2;14;;14
Benecke, Mascha;2009;10;1;;6
Benesch, Harald;2009;;9;274;15
Beneyto Arago, Manuela;2009;4;22;;8
Benneter, Klaus Uwe;2009;3;1;80;8
Benninghoven, Heinz;2009;34;5;224;14
Bensch, Rainer Holger;2009;6;2;;5
Bentz, Konrad;2009;;9;171;11
Ber, Dieter;2009;38;5;98;9
Berg, Dr. Axel;2009;17;1;219;14
Berg, Ronny;2009;5;23;;8
Berg, Ute;2009;17;1;138;9
Berger, Ulrike;2009;;4;16;2
Bergner, Dr. Christoph;2009;1;2;73;7
Berlich, Manuela;2009;;14;61;6
Berlingen, Ralf Markus;2009;26;5;;13
Bernard, Horst;2009;4;6;;16
Bernard, Raja;2009;11;6;;9
Berndt, Wolfgang;2009;;6;233;14
Berneking, Arne;2009;6;15;;9
Bernhardt, Andreas Christian;2009;20;5;;13
Bernhardt, Otto;2009;4;2;4;1
Bernhart, Andreas;2009;66;2;;15
Bernhauer, Mischa;2009;6;20;;3
Berninger, Matthias;2009;4;4;170;11
Bernlöhr, Günther;2009;10;8;;15
Berns, Wolfgang;2009;29;5;;11
Bernstein, Hans-Gerd;2009;;6;111;9
Bernt, Helmut;2009;6;11;;9
Berrang, Thomas;2009;13;1;;16
Bertermann, Jörg;2009;39;1;;15
Bertram, Achim Oliver;2009;18;5;;13
Besemann, Karl-Heinz;2009;;9;25;4
Bethge, Horst;2009;;6;24;3
Bettin, Grietje;2009;1;4;1;1
Beuermann, Bärbel;2009;9;6;;9
Beul, Uwe Peter;2009;29;1;150;9
Beuß, Wolfgang;2009;5;2;21;3
Beutin, Heidi Herma Elise;2009;2;6;;1
Beyer, Andre;2009;6;23;;3
Beyer, Cathrin;2009;8;4;;2
Beyer, Christian;2009;35;1;233;14
Beyer, Lars;2009;5;9;59;6
Biege, Dr. Lothar;2009;23;5;40;4
Bier, Manfred;2009;54;1;;11
