Wkr.-Nr.;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
123;83905;49192;0;5608;4654;7397;0;0;1627;0;0;0;0;0;0;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0
124;83649;37012;0;3733;3467;9496;0;0;2206;0;0;0;0;0;0;0;0;0;0;0;0;616;0;0;0;0;0;0;0;0;0;0
125;58301;78554;0;5028;5752;4424;0;0;1075;0;0;388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;91918;51512;0;4245;4168;8348;0;0;1678;1801;0;0;0;0;0;0;0;0;0;0;0;214;0;0;0;0;0;0;0;0;0;110
127;50880;87251;0;6070;6232;4386;0;0;785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;55269;78626;0;6224;6988;4387;0;0;919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;70456;64892;0;4760;5814;4588;0;0;1128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;70175;69638;0;14169;8666;4381;0;0;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;472
131;63717;84140;0;6619;6324;5301;0;0;1329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;69739;87555;0;7422;8125;6365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;92287;73853;0;12742;5253;8281;0;0;1563;0;0;860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505
134;85908;74103;0;5319;6476;6894;0;0;1991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;76641;65858;0;4071;5845;5774;0;0;1666;0;0;0;0;1497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136;66665;53607;0;4990;6165;4800;0;0;1331;0;0;1318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;63922;83914;0;6066;6648;5403;0;0;1612;0;0;879;0;2107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;57815;101231;0;7278;8137;5944;0;0;1695;0;0;0;0;2254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;87664;58191;0;4757;5944;6837;0;0;2129;1988;0;0;0;0;0;0;0;0;0;0;0;188;0;0;0;0;0;0;0;0;0;0
140;76854;45344;0;7166;7502;6506;0;0;1338;1858;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;0;0;0;0;0;0;0
141;94985;51120;0;8786;4071;9497;0;0;1883;0;0;0;0;0;0;0;0;0;0;0;0;316;0;0;0;0;0;0;0;0;0;0
142;85964;37096;0;5058;3487;9738;0;1558;1503;0;0;0;0;0;0;0;0;0;0;0;0;268;0;0;0;0;0;0;0;0;0;0
143;88227;45968;0;8020;4728;7616;0;0;1520;0;0;0;0;0;0;0;0;0;0;0;0;335;0;0;0;0;0;0;0;0;0;312
144;88135;44293;0;6088;3907;8271;0;0;1622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;88471;51073;0;7934;4957;7076;0;0;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
146;100141;59652;0;4195;8038;7690;0;0;2026;0;0;0;0;0;0;0;0;0;0;0;0;0;366;0;0;0;0;0;0;0;0;0
147;73123;82445;0;5946;8518;6536;0;0;1534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;56141;94975;0;3341;4006;4802;0;0;1245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;73703;70260;0;6097;8240;6415;0;1462;1328;1694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
150;61628;83289;0;4665;6322;6198;0;0;1823;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;76312;66020;0;3387;6038;6617;0;0;2357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152;35561;49485;0;2958;6882;30722;0;0;6682;0;0;0;0;0;1083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;517
153;47265;42028;0;5658;7500;34219;0;0;4294;0;0;0;0;0;880;0;0;0;0;0;0;0;0;0;0;0;379;0;0;0;0;1145
154;53181;38545;0;10787;7141;33881;0;0;3502;0;0;0;0;0;1135;0;0;0;0;1026;0;0;0;0;0;0;373;0;0;0;0;1110
155;51962;61178;0;4025;9710;37850;0;0;7966;0;0;0;0;0;1366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1442
156;36919;62840;0;6669;11629;34857;0;0;11199;0;0;0;0;0;2190;0;0;0;0;0;0;120;0;0;0;0;397;0;0;0;0;129
157;39183;68306;0;5278;15386;43847;0;0;12120;0;0;0;0;0;971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;34644;67930;0;6937;12120;44838;0;0;12148;0;0;0;0;0;2715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
