Wahlkreis;SPD;CDU;FDP;DIELINKE;GRUENE;CSU;NPD;REP;FAMILIE;DieTierschutzpartei;PBC;MLPD;BueSo;BP;Volksabstimmung;ZENTRUM;ADM;DKP;DIEVIOLETTEN;oedp;PIRATEN;RRP;FreieUnion;Uebrige
491;37032;40063;10056;35942;7391;0;5475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1848
492;33468;45899;8889;43013;12129;0;4149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1620
493;34658;46590;15695;49344;11471;0;4771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
494;20224;42988;9237;33672;4196;0;4720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
495;27824;46726;12534;45820;5684;0;6574;0;0;0;0;582;0;0;0;0;0;0;0;0;0;0;0;934
496;27055;39600;10313;41361;5936;0;4380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
497;61544;66214;17881;11331;9518;0;2438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
498;33987;62145;20470;8310;10094;0;1527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
499;38080;59853;13084;9935;13222;0;1483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
500;29768;59719;15621;8979;9690;0;1513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
501;37332;61167;8684;11579;8768;0;1798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;801
502;28042;53705;16213;8043;9274;0;1295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
503;35039;61980;11330;11639;14143;0;1323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
504;44416;65215;16541;11884;10685;0;2347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
505;57338;68081;22054;10737;23696;0;2043;0;0;0;0;0;304;0;0;0;0;0;833;2384;0;0;0;0
506;54255;51892;14051;10218;10515;0;3259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
507;48713;57736;12878;13002;9277;0;1807;3631;0;0;0;210;0;0;0;0;0;0;0;0;3188;0;0;0
508;40404;71481;14870;12546;13748;0;2710;0;3140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1283
509;55070;52311;14725;22205;10834;0;4143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
510;34342;50035;14105;15989;8840;0;3598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
511;42287;61994;19431;10926;12637;0;3230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1925
512;16724;0;9508;5362;8477;67284;2045;0;0;0;0;0;1369;0;0;0;0;0;0;0;0;0;0;0
513;24402;0;16433;6073;17573;67518;1837;0;0;0;0;0;0;0;0;0;0;0;0;3969;0;0;0;327
514;21693;0;20220;8510;25879;71748;2636;0;0;0;0;0;5;63;0;0;0;0;0;88;0;1697;0;10
515;35144;0;20645;7146;19965;90368;2007;0;0;0;0;0;0;3109;0;0;0;0;0;3120;0;2415;0;783
516;26630;0;13994;10838;14082;98542;3276;0;0;0;0;0;656;0;0;0;0;0;0;3863;0;0;0;466
517;55691;0;15766;7773;15307;57161;1531;0;0;0;0;123;217;0;0;0;0;0;0;1732;0;0;0;1285
518;44917;0;24022;9109;21722;61412;1286;0;0;0;0;0;221;1574;0;0;0;0;0;2147;0;1616;0;839
519;43835;0;17033;8266;20507;58849;1289;0;0;0;0;0;460;0;0;0;0;0;0;2097;0;0;0;1784
520;47101;0;20442;9665;24967;63075;1413;0;0;0;0;0;412;0;0;0;0;0;0;2623;0;0;0;1879
521;37277;0;26030;7201;25062;87060;1548;0;1926;0;0;0;0;0;0;0;0;0;0;1986;0;1601;674;0
522;23041;0;14745;5967;19499;82305;1172;3455;0;0;0;0;375;3612;0;0;0;0;0;3905;0;1749;0;0
523;28179;0;25954;6928;19133;98057;2215;0;49;0;0;0;0;0;0;0;0;0;0;41;0;35;12;0
524;21406;0;10142;6156;16188;76741;2063;0;0;0;0;0;608;2860;0;0;0;0;0;2409;0;1296;749;0
525;25894;0;19076;7568;21516;94302;1883;0;0;0;0;0;0;3399;0;0;0;0;0;4511;0;1921;0;1323
526;15336;0;11065;6851;6717;49398;3039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;992;0
527;25337;0;22940;9362;17133;84953;3295;0;0;0;0;0;0;0;0;0;0;0;1176;4051;0;0;0;0
528;16573;0;22069;9217;8767;54275;2600;0;0;0;0;0;0;0;0;0;0;0;0;3212;0;0;0;0
529;17920;0;10305;4868;5828;54904;1743;1719;0;0;0;0;522;0;0;0;0;0;0;4626;0;0;0;0
530;24922;0;8650;5410;4372;61572;2519;0;0;0;0;0;0;0;0;0;0;0;0;3040;0;0;0;602
531;30587;0;18922;10544;13833;71148;3818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1493;0;0
532;35207;0;21618;10514;14784;75653;2753;0;0;0;0;0;0;0;0;0;0;0;0;4410;2903;1227;0;0
533;34321;0;11058;9396;6423;72791;3463;0;0;0;0;0;0;0;0;0;0;0;0;2830;0;0;0;1506
534;24261;0;8664;6567;6031;54891;2994;0;0;0;0;0;0;0;0;0;0;0;0;1563;0;0;0;17196
535;26044;0;13590;7601;11726;62548;1899;2213;0;0;0;0;0;1562;0;0;0;0;0;0;0;0;0;303
536;23920;0;9898;6318;13096;58848;1701;1855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
537;28882;0;8805;7475;9380;55174;2775;0;0;0;0;0;0;0;0;0;0;0;0;1234;0;0;0;342
538;33763;0;9604;9994;9302;57632;3094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;650
539;18717;0;4885;6624;5985;86658;3027;0;0;0;0;0;0;0;0;0;0;0;0;1407;0;0;0;0
