Wähler;Ungültige;Ungültige;SPD;SPD;CDU;CDU;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;NPD;NPD;REP;REP;FAMILIE;FAMILIE;Die Tierschutzpartei;Die Tierschutzpartei;PBC;PBC;MLPD;MLPD;BüSo;BüSo;BP;BP;PSG;PSG;Volksabstimmung;Volksabstimmung;ZENTRUM;ZENTRUM;ADM;ADM;CM;CM;DKP;DKP;DVU;DVU;DIE VIOLETTEN;DIE VIOLETTEN;FWD;FWD;ödp;ödp;PIRATEN;PIRATEN;RRP;RRP;RENTNER;RENTNER;Freie Union;Freie Union;Übrige;Übrige
;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
161584;1970;1821;55374;45895;56273;49810;16163;23109;13751;15906;14446;16731;0;0;2346;2009;0;0;0;0;0;1519;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;0;0;0;0;0;179;0;2879;1261;1506;0;0;0;0;0;0
135824;1902;1575;50481;40643;51654;46707;10426;17146;10307;11920;8379;11885;0;0;1828;1567;0;0;0;0;0;1072;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;173;0;1938;0;945;0;0;0;0;847;0
142114;1690;1424;46851;37784;62035;51303;9946;20056;9096;10541;9409;14253;0;0;2349;2061;0;0;0;0;0;999;0;0;0;43;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0;0;170;0;2503;0;837;0;0;0;0;431;0
169078;1775;1550;43503;39085;91378;79052;13278;23749;8195;9169;9819;11357;0;0;1130;1014;0;0;0;0;0;853;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;0;0;0;0;0;158;0;2347;0;642;0;0;0;0;0;0
148935;1708;1425;28053;24358;91686;80355;12700;23001;6927;7518;6575;7827;0;0;1286;1132;0;0;0;0;0;766;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;108;0;1953;0;372;0;0;0;0;0;0
141838;1646;1315;48313;38955;52599;47565;15928;22067;9775;11701;11917;13999;0;0;1660;1442;0;0;0;0;0;1059;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;0;0;0;0;0;143;0;2435;0;937;0;0;0;0;0;0
144883;1642;1337;52397;41979;53080;45908;10787;17889;12242;13830;12318;17053;0;0;2417;1981;0;0;0;0;0;1228;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;152;0;2339;0;976;0;0;0;0;0;0
121941;1702;1326;42395;33279;48344;42324;9895;16930;8366;9759;9101;12155;0;0;2138;1825;0;0;0;0;0;1172;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;133;0;2252;0;597;0;0;0;0;0;0
148918;1976;1552;45002;36139;59657;50104;15812;24967;9611;10825;13772;18002;0;0;1935;1636;0;0;0;0;0;1132;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;177;0;0;0;0;0;238;0;2963;1153;1150;0;0;0;0;0;0
131466;1695;1366;40411;32321;43229;37291;11242;16323;11935;13166;19645;23543;0;0;1860;1594;0;0;0;0;0;1002;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;0;0;0;0;194;0;2795;1449;1704;0;0;0;0;0;0
144630;1706;1353;46028;37936;63175;55599;12940;21117;9006;10211;10393;13227;0;0;1382;1243;0;0;0;0;0;854;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;190;0;2268;0;486;0;0;0;0;0;0
143711;1584;1370;46979;38000;54522;48398;14823;19941;9918;11878;14282;18463;0;0;945;848;0;0;0;0;0;880;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;216;0;3168;0;443;0;0;0;0;658;0
143398;1706;1376;58649;46797;52714;45750;8712;17698;8797;10847;10217;13815;0;0;2036;1858;0;0;0;0;0;1079;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;0;0;0;0;183;0;2454;0;1352;0;0;0;0;567;0
131369;1556;1381;50592;40497;42621;34448;9699;16680;10624;12111;13364;19019;0;0;1759;1681;0;0;0;0;0;1081;0;0;176;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;190;0;3102;978;973;0;0;0;0;0;0
140587;1655;1392;55068;41482;44534;33872;8657;16098;12886;14786;15797;24705;0;0;1573;1411;0;0;0;0;0;1106;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;0;0;221;0;4368;0;887;0;0;0;0;417;0
175757;2251;1764;67178;53236;66311;58219;14560;24492;11173;12601;11642;16993;0;0;2642;2288;0;0;0;0;0;1362;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;179;0;0;0;0;0;301;0;3137;0;1139;0;0;0;0;0;0
157137;1991;1701;50107;42402;68572;55393;11351;22295;10130;11765;10801;14770;0;0;2501;2291;0;0;0;0;0;1130;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;190;0;2957;1684;2023;0;0;0;0;0;0
