Wähler;Ungültige;;CDU;;SPD;;FDP;;DIE LINKE;;GRÜNE;;CSU;;PIRATEN;;NPD;;Tierschutzpartei;;REP;;ÖDP;;FAMILIE;;Bündnis 21/RRP;;RENTNER;;BP;;PBC;;BüSo;;DIE VIOLETTEN;;MLPD;;Volksabstimmung;;PSG;;AfD;;BIG;;pro Deutschland;;DIE RECHTE;;DIE FRAUEN;;FREIE WÄHLER;;Nichtwähler;;PARTEI DER VERNUNFT;;Die PARTEI;;B;;BGD;;DKP;;NEIN!;;Übrige;
Erststimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
148614;2506;2135;56966;59081;37864;31566;2255;3303;32404;29869;5205;6538;0;0;3340;2581;4928;3922;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;0;0;0;0;0;7736;0;0;0;251;0;0;0;0;2920;1398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;0
137171;2359;1986;57917;56922;30711;26641;2125;3006;30812;28803;4641;5448;0;0;2964;2126;4244;3465;0;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;0;0;0;0;0;7138;0;0;0;291;0;0;0;0;1398;1106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152820;2669;2046;52661;57188;27498;29010;1606;2911;46160;35792;11216;9874;0;0;3263;3588;3308;2484;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545;292;0;0;0;0;0;8196;0;0;0;224;0;0;0;0;1385;1109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2509;0
157402;2467;2426;87142;69683;21688;22630;1227;4067;29847;31930;4728;7372;0;0;3738;3527;3970;3525;0;0;0;126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;0;0;10159;0;0;0;330;0;0;0;0;1205;1466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1390;0
148874;2778;2514;67069;65767;22870;21603;2695;2910;34972;31658;3359;4010;0;0;3825;2629;8525;6755;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;0;0;0;0;0;8850;0;0;0;337;0;0;0;0;2781;1523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136837;3195;2868;62852;60407;25029;22981;1983;2771;30284;28819;4083;4474;0;0;2653;2112;4243;3584;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;491;233;0;0;0;0;0;6806;0;0;0;260;0;0;0;0;2024;1402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168465;2445;2252;46753;44947;64997;55721;2878;6458;15693;18124;19943;22645;0;0;5733;6442;1245;1257;0;0;0;0;0;417;0;0;0;0;0;790;0;0;0;0;0;0;0;0;0;92;0;0;0;0;5525;7186;0;0;0;0;0;0;0;0;700;589;0;0;0;0;1738;1545;0;0;0;0;0;0;0;0;815;0
135857;1454;1393;43609;39581;46918;40009;2627;7353;13759;14525;18380;22167;0;0;3005;3630;515;528;0;0;0;0;0;334;0;0;0;0;0;420;0;0;0;0;0;0;0;0;135;123;0;0;0;0;3094;4321;0;0;0;0;0;0;0;0;497;384;0;0;0;0;1359;1089;0;0;0;0;0;0;0;0;505;0
143084;1646;1444;47112;43989;53105;44492;3264;7308;9728;12137;18399;22074;0;0;3352;3751;548;551;0;0;0;0;0;293;0;0;0;0;0;525;0;0;0;0;0;0;0;0;0;56;0;0;0;0;4034;5197;0;0;0;0;0;0;0;0;427;397;0;0;0;0;0;870;0;0;0;0;0;0;0;0;1469;0
163950;1666;1512;64459;59244;56421;49039;3921;10242;7626;10615;19343;20357;0;0;3559;3638;610;588;0;0;0;0;0;297;0;0;0;0;0;585;0;0;0;0;0;0;0;0;0;39;0;0;0;0;5708;6721;0;0;0;0;0;0;0;0;637;392;0;0;0;0;0;681;0;0;0;0;0;0;0;0;0;0
147153;1960;1795;54002;50641;58029;50339;2783;6556;9594;11078;9320;12667;0;0;3328;3437;1374;1336;0;0;0;0;0;229;0;0;0;0;0;793;0;0;0;0;0;0;0;0;0;37;0;0;0;0;6026;7093;0;0;0;0;0;0;0;0;737;560;0;0;0;0;0;592;0;0;0;0;0;0;0;0;0;0
142704;2089;1988;50044;47525;56867;49302;2234;4952;10595;11817;9088;12916;0;0;3198;3607;1446;1398;0;0;0;0;637;393;0;0;0;0;0;706;0;0;0;0;0;0;0;0;0;76;0;0;0;0;5448;6624;0;0;0;0;0;0;0;0;727;534;0;0;0;0;0;866;0;0;0;0;0;0;0;0;331;0
134256;2217;1724;42737;43026;66348;58080;2085;4323;6373;6588;12627;11028;0;0;0;1900;0;1259;0;1065;0;110;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0;0;0;35;0;0;0;0;0;4136;0;0;0;109;0;0;0;0;1869;713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
166959;2096;1645;90236;80616;51409;51079;4288;6537;6426;6771;8441;9506;0;0;0;2218;1656;1339;0;1070;0;91;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;24;0;0;0;0;0;4870;0;0;0;165;0;0;0;0;1820;747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;587;0
134162;2369;1760;52275;50796;58178;48011;3024;5670;6736;6814;7362;9731;0;0;0;2007;1680;1206;0;1194;0;87;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;70;0;0;0;0;0;5479;0;0;0;149;0;0;0;0;2538;1106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163543;1748;1402;59525;57067;60547;52856;3966;8210;8794;10523;18552;20170;0;0;2669;2853;1093;1050;0;1308;0;54;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;62;0;0;0;0;5502;6833;0;0;0;100;0;0;0;0;1147;923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162698;2059;1911;63832;62620;63256;54848;5263;8035;7273;8814;9784;13059;0;0;2747;2577;1655;1612;0;1390;0;97;0;0;0;0;238;0;0;0;0;0;0;80;0;0;0;0;0;41;0;0;0;0;5292;6359;0;0;0;183;0;0;0;0;1299;1072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137151;1490;1184;63431;59699;49395;45534;1872;4924;4904;6241;8326;9592;0;0;2120;1968;1306;1270;0;1074;0;43;0;0;0;0;273;0;0;0;0;0;0;101;0;0;0;0;0;42;0;0;0;0;4034;4753;0;0;0;140;0;0;0;0;0;586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145131;1161;947;68545;64472;49111;44598;2505;6023;4878;6021;9099;11209;0;0;1985;2131;1457;1302;0;979;0;54;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;17;0;0;0;0;5632;6531;0;0;0;108;0;0;0;0;758;620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170444;1571;1206;99705;94923;48903;44069;2673;7032;4543;5107;8393;9160;0;0;0;2456;879;790;0;767;0;48;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;20;0;0;0;0;3777;4331;0;0;0;136;0;0;0;0;0;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
153769;1416;1205;101015;96401;32422;30168;2812;7073;3821;4259;5702;6488;0;0;0;1816;870;877;0;681;0;51;0;0;1022;0;0;0;0;0;0;0;0;250;0;0;0;0;0;21;0;0;0;0;3238;3576;0;0;0;104;0;0;0;0;1451;799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142350;1496;1215;66862;61404;47067;44431;2797;6929;4933;6359;10651;11556;0;0;2166;2143;1288;1175;0;1196;0;102;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;0;21;0;0;0;0;3571;4840;0;0;0;169;0;0;0;0;903;673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;616;0
144923;1502;1708;63174;57243;53660;47413;1359;5235;7195;8008;9729;13708;0;0;2516;2655;1289;1321;0;1250;0;90;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;58;0;0;0;0;4499;5487;0;0;0;165;0;0;0;0;0;392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122823;1317;994;54448;53163;49301;38018;2097;4930;4758;5572;6026;10332;0;0;1875;1722;1617;1275;0;1028;0;68;0;0;0;0;0;0;0;0;0;0;0;174;0;0;0;0;0;22;0;0;0;0;0;4586;0;0;0;143;0;0;0;0;1384;796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152819;1416;1219;68458;64905;47908;42915;5110;7382;5472;6641;10754;14078;0;0;2376;2499;1112;1193;0;1366;0;74;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0;0;0;33;0;0;0;0;8704;9069;0;0;0;141;0;0;0;0;1509;1145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133574;1375;1158;52644;48756;44491;38415;2112;5281;7784;9202;15918;18892;0;0;2879;3000;1240;1145;0;1081;0;47;0;0;0;0;0;0;0;0;0;0;206;177;0;0;0;0;0;30;0;0;0;0;4925;5852;0;0;0;136;0;0;0;0;0;402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
144853;1390;1120;76179;68972;46365;42214;2546;6599;5162;5783;8330;11046;0;0;2526;2188;1135;968;0;801;0;36;0;0;0;0;0;0;0;0;0;0;404;444;0;0;0;0;0;23;0;0;0;0;0;4060;0;0;0;121;0;0;0;0;816;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
142840;1919;1641;64416;60754;49059;43099;3934;5874;5840;7188;12568;15390;0;0;3102;2794;884;652;0;815;0;49;0;0;0;0;0;0;0;0;0;0;290;226;0;0;0;0;0;33;0;0;0;0;0;3765;0;0;0;88;0;0;0;0;828;472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141773;1464;1156;58349;56279;62641;51043;1950;4993;4649;6006;8173;11370;0;0;2693;2108;1854;1216;0;1129;0;112;0;0;0;0;0;0;0;0;0;0;0;211;0;0;0;0;0;41;0;0;0;0;0;5514;0;0;0;159;0;0;0;0;0;436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129867;1888;1868;46650;42910;55711;45441;1889;6043;6435;7993;9876;15718;0;0;2434;2434;0;808;0;988;0;122;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;143;78;0;0;0;0;4051;4654;0;0;0;168;0;0;0;0;790;505;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141215;1871;1925;47180;41684;59686;48292;2050;5983;8657;11129;14229;21559;0;0;2937;3113;803;736;0;1171;0;80;0;0;0;0;0;0;0;0;0;0;0;146;0;0;0;0;0;95;0;0;0;0;3802;4749;0;0;0;155;0;0;0;0;0;398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176671;1658;1530;77509;72286;67440;57922;4504;8725;6220;7931;8735;14308;0;0;2232;2516;1619;1487;0;1346;0;185;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;37;0;0;0;0;5393;7038;252;0;0;210;0;0;0;0;1109;937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157058;1562;1361;75369;68568;53237;46931;2091;6478;5655;7085;9563;12071;0;0;0;2673;1677;1511;0;1173;0;149;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;27;0;0;0;0;6591;7722;0;0;0;144;0;0;0;0;1313;982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
161941;1788;1473;67368;64451;69259;57875;2266;5648;6810;7575;7666;11855;0;0;3063;2833;1937;1524;0;1242;0;134;0;0;0;0;0;0;0;0;0;0;850;616;0;0;0;0;0;46;0;0;0;0;0;5786;0;0;0;212;0;0;0;0;934;671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137839;2075;1943;53726;50937;57484;49411;2496;5985;6308;7201;8202;11428;0;0;2577;2152;0;1271;0;1031;0;104;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;30;0;0;0;0;4971;5550;0;0;0;150;0;0;0;0;0;461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182963;2067;1672;75761;69644;78433;65169;2567;7228;7350;8669;9422;16212;0;0;3144;2737;2247;1499;0;1429;0;172;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;53;0;0;0;0;0;6958;0;0;0;309;0;0;0;0;1972;1044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
164796;2451;1799;68653;63041;66986;59319;2489;5589;7909;8120;13771;14587;0;0;0;2937;2537;1482;0;1208;0;92;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;31;0;0;0;0;0;5601;0;0;0;384;0;0;0;0;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
152599;2208;2618;55720;53593;70080;58881;1582;5142;6524;8461;6630;11013;0;0;2119;2228;1940;1796;0;1286;0;208;0;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;39;0;0;0;0;4548;5938;0;0;0;183;0;0;0;0;1248;1046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143752;1649;1467;49710;48419;61952;47741;3243;6214;7119;9527;10117;17614;0;0;4012;4169;1032;1038;0;1295;0;97;0;0;0;0;0;0;0;0;0;0;0;128;0;0;0;0;116;100;0;0;0;0;3894;5092;0;0;0;127;0;0;0;0;908;724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133269;1927;1494;58760;54188;50826;45837;1839;4796;5731;6440;6666;9004;0;0;2972;2460;2599;1840;0;1182;0;44;0;0;0;0;0;0;0;0;0;0;331;254;0;0;0;0;0;38;0;0;0;0;0;4892;0;0;0;157;0;0;0;0;1049;643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;569;0
149429;2599;2165;61723;55775;62209;55985;2249;6099;6805;7475;7833;10141;0;0;2373;2141;1967;1493;0;1086;0;93;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;0;0;33;0;0;0;0;0;5733;0;0;0;241;0;0;0;0;1402;835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269;0
165814;1974;1511;62558;59000;66192;54410;2633;6667;8581;10432;16740;20076;0;0;3219;3173;1730;1280;0;1178;0;93;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;67;0;0;0;0;0;6121;0;0;0;234;0;0;0;0;2187;1427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184512;2128;1816;55198;55254;69161;60502;4171;7168;15186;18502;25342;25448;0;0;4849;4756;1403;1400;0;1641;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;207;87;0;0;0;0;5336;6263;0;0;0;199;0;0;0;0;0;398;0;0;0;0;1531;959;0;0;0;0;0;0;0;0;0;0
148510;2083;1794;42067;41205;64276;56702;2189;4036;13335;14782;12325;14566;0;0;3982;3699;2393;2240;0;1824;0;0;0;0;0;0;432;276;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;5428;6044;0;0;0;267;0;0;0;0;0;416;0;0;0;0;0;590;0;0;0;0;0;0;0;0;0;0
103904;2156;1682;34115;37305;30079;25638;1294;2299;24519;23048;2790;3532;0;0;2633;1967;2826;2329;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;4761;0;0;0;369;0;0;0;0;0;772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3492;0
100634;1879;1715;38394;36377;23235;22475;1565;2069;25673;23572;2825;3580;0;0;2456;1985;3374;2632;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;4776;0;0;0;317;0;0;0;0;1233;877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
177378;3659;2857;65081;63199;48668;41603;2571;5119;34046;32023;8510;9861;0;0;5281;3894;5880;4273;0;0;0;304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;11713;0;0;0;787;0;0;0;0;2481;1577;0;0;0;0;0;0;0;0;0;0;306;0;0;0;895;0
175093;3922;3770;58210;55340;34745;37323;1887;3816;56391;44996;5876;7213;0;0;4588;3968;5804;4246;0;0;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;0;0;0;0;0;10981;0;0;0;861;0;0;0;0;2476;2135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1194;0
124176;2434;2205;39973;41489;40306;32002;1911;2780;28974;27921;2952;4578;0;0;3038;2388;3968;3187;0;0;0;183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;5929;0;0;0;450;0;0;0;0;0;933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;620;0
182227;3088;2330;58399;56449;57669;44723;3200;5900;35914;37294;12903;16241;0;0;5445;4814;3147;2067;0;0;0;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;0;0;0;0;0;10282;0;0;0;610;0;0;0;0;0;1045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2462;0
169480;3478;3029;61487;57867;45078;37780;1989;4526;36284;36310;6324;7425;0;0;4331;3617;5582;4468;0;0;924;579;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;10605;0;0;0;713;0;0;0;0;3670;2381;0;0;0;0;0;0;0;0;0;0;333;0;0;0;0;0
135293;3167;2463;44822;44301;32291;29631;2252;2922;37008;32862;5192;5266;0;0;4977;2911;5584;4058;0;0;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;198;0;0;0;0;0;8562;0;0;0;642;0;0;0;0;0;1219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
125920;2689;2207;44301;44230;29510;26863;2498;2984;24681;27965;3278;4382;0;0;2889;2615;4929;3897;0;0;0;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0;0;0;0;8555;0;0;0;525;0;0;0;0;0;1355;0;0;0;0;901;0;0;0;0;0;245;0;0;0;9999;0
118680;2668;2165;47454;46044;26132;23136;2085;2950;27137;25321;2899;3104;0;0;3834;2626;5608;4421;0;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;153;0;0;0;0;0;6911;0;0;0;531;0;0;0;0;0;1122;0;0;0;0;0;0;0;0;0;0;323;0;0;0;540;0
107895;1857;1678;44686;44655;18616;20196;1489;2278;32164;26180;2998;3542;0;0;2541;1997;2613;2227;0;0;0;0;0;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;0;3826;0;0;0;306;0;0;0;0;931;722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141814;2976;2488;61890;60207;32118;27279;3686;3995;29759;30235;3611;4281;0;0;4224;2556;0;2903;0;0;0;0;0;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;0;0;5380;0;0;0;458;0;0;0;0;2854;1630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;696;0
132539;2595;2340;59779;56619;24875;24407;1852;2961;29860;29875;4928;4716;0;0;2556;2255;3304;2651;1679;0;0;0;0;293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;4924;0;0;0;433;0;0;0;0;1111;929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154404;2836;2378;55046;56982;38153;31763;2090;3687;38231;36473;6073;8490;0;0;4153;3654;2786;2272;2758;0;0;0;0;348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;403;280;0;0;0;0;0;6355;0;0;0;466;0;0;0;0;1875;1256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120805;1836;1758;53048;50633;20545;20354;1489;2892;26015;27136;5196;4703;0;0;2053;2160;2814;2799;0;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;5575;6050;0;0;0;327;0;0;0;0;2234;1728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
140667;2714;2498;56514;57357;21244;23224;2778;3556;39715;35425;2884;3572;0;0;1720;2200;3450;3516;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389;283;0;0;0;0;6314;6635;0;0;0;389;0;0;0;0;2945;1848;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
143332;2185;2042;51206;53265;32957;25259;2958;4418;36006;34449;5286;10185;0;0;2898;3599;1987;2134;0;0;0;0;0;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;449;317;0;0;0;0;4768;5879;0;0;0;341;0;0;0;0;1307;1147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1325;0
123809;2170;1962;54544;52194;18791;19850;1879;3374;31300;28933;4760;3732;0;0;2488;2097;4854;3920;0;0;0;0;0;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;5234;0;0;0;475;0;0;0;0;2581;1695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;442;0
132983;2572;2289;54705;53869;23560;22399;2458;3837;35982;33613;3193;3637;0;0;3123;2235;4277;3478;0;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;5378;0;0;0;485;0;0;0;0;2232;1403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881;0
